"trial","ref_position","var_area","response","correct","rt"
1,"L",9.02491685422137,"R",TRUE,5.39199995994568
2,"R",11.5636250507087,"L",TRUE,1.55399990081787
3,"L",14.9428320722654,"R",TRUE,0.789000034332275
4,"L",14.5251285554841,"L",FALSE,0.690999984741211
5,"R",14.9333290508948,"R",FALSE,0.796999931335449
6,"L",11.7602401259355,"L",FALSE,0.878000020980835
7,"R",12.0952208542731,"R",FALSE,0.799999952316284
8,"L",8.88015520921908,"L",TRUE,1.09000015258789
9,"R",12.4797559981234,"L",TRUE,0.986000061035156
10,"R",12.9868957472499,"L",TRUE,0.692999839782715
11,"L",10.7480491192546,"L",FALSE,0.986999988555908
12,"R",13.370221254183,"R",FALSE,0.699999809265137
13,"R",13.3880549827591,"R",FALSE,0.894000053405762
14,"L",9.81974070309661,"L",FALSE,0.685999870300293
15,"L",14.8696663547307,"R",TRUE,0.789000034332275
16,"R",8.7069265183527,"R",TRUE,0.802999973297119
17,"L",13.7549105409998,"R",TRUE,0.688999891281128
18,"R",13.3469724734314,"R",FALSE,0.58299994468689
19,"R",10.2538245890755,"R",FALSE,0.677999973297119
